MlsNumber,PublicRemarks,Bathrooms,Bedrooms,InteriorSize,Type,Ammenities,Address,Longitude,Latitude,PostalCode,NeighbourHood,Price,PropertyType,ParkingSpace,OwnershipType,Appliances,FlooringType,BasementType,HeatingType,LandSize,AmmenitiesNearBy,PropertyTax,ZoningDescription,LowResPhoto
"C5168473","Best Value In Gta Tridel Built Spacious 2 Br/1.5 Baths At Demand Don Mills/Finch Mature Neighbourhood/Acres Of Greenland/Excellent Security/Concierge Services/Open Balcony/Unobstructed Sunny Exposure/Outdoor Pool/Tennis Court And Children Playground/Excellent Open Concept/Spacious Layout/Perfect 4 Work At Home Couple/Steps To Seneca College/ Public School/Minutes To Great Plaza/Fairview Mall/One Bus To Subway Stations/Hwy404**** EXTRAS **** Elf/Window Coverings/Fridge/Stove/Dishwasher/Freezer/Washer/Dryer/2 Portable Air Conditioning Units, Laminated/Ceramic Flooring Throughout/All Chattels/Appliances Are In As Is Conditions With No Warranty/##2 Separate Parking Spaces Owned## (28153355)","2","2",,"Apartment","Party Room, Security/Concierge, Exercise Centre","#810 -3300 DON MILLS RD|Toronto, Ontario M2J4X7","-79.355266","43.7917305","M2J4X7","Don Valley Village","$545,000 ","Single Family","2","Condominium/Strata",,,,"Hot water radiator heat (Natural gas)",,"Park, Public Transit","$1,517",,"https://cdn.realtor.ca/listing/TS637523654595630000/reb82/highres/3/c5168473_1.jpg"
"C5168594","Your First Home Is Here! One Of Best Location In Heart Of North York!!A Spacious 1+Den In The Awarding Winning Avonshire By Tridel, Highest Quality Living!! 9Ft Ceiling Condo With 1 Underground Parking Spot. Breakfast Bar, Open Balcony And A Large Master Bedroom, Spacious Den Can Be Used As 2nd Bedroom. Also Investment Too. State Of The Art Amenities: Pool, Wirlpool, Sauna, Gym, Billiards, Movie Theater, Library, Party Room, 24Hrs Security/Concierge.**** EXTRAS **** Existing Stainless Steel Fridge, Stove, B/I Dishwasher, B/I Microwave, Existing All Elf's & Window Covertings, Washer And Dryer And One Underground Parking Spot. (28153495)","1","1 + 1",,"Apartment","Security/Concierge, Party Room, Exercise Centre","#1714 -100 HARRISON GARDEN BLVD|Toronto, Ontario M2N0C2","-79.404182","43.7570894","M2N0C2","Willowdale East","$548,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,"Park, Public Transit","$2,042.30",,"https://cdn.realtor.ca/listing/TS637523654675800000/reb82/highres/4/c5168594_1.jpg"
"W5168807","Bright & Spacious 1Bed+Den Condo In Luxurious Trevisio2. Large Balcony, Floor To Ceiling Windows For Max. Sunlight. Plenty Of Wardrobe Storage Included. 10K+ In Condo Upgrades $$. Prime Location Close To Yorkdale Mall & Allen Rd/401 & Lawrence W Subway, 24Hrs Shoppers Drugmart. Amenities- Pool, Hottub, Exerciseroom,Theatre, Billiardsroom, 24Hr Concierge, Rooftop Garden/Terrace, Guest Suites, Visitor Parking.**** EXTRAS **** S/S Appliances (Fridge, Stove, Bi D/W And Microwave + Exhaust),Washer, Dryer, Window Coverings, All Elf's, Parking + Locker. (28154177)","1","1 + 1",,"Apartment","Storage - Locker, Party Room, Exercise Centre","#1705 -830 LAWRENCE AVE W|Toronto, Ontario M6A1C3","-79.4542277","43.7149971","M6A1C3","Yorkdale-Glen Park","$500,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,,"$1,901.06",,"https://cdn.realtor.ca/listing/TS637523658644670000/reb82/highres/7/w5168807_1.jpg"
"W5168624","Gorgeous, Professionally Completely Renovated, Bright And Spacious. Absolute Move In Condition, Steps To Finch West Subway Station, Close To York University And All Other Amenities.Modern Open Concept Kitchen With Central Island. Corner Unit. Sunken Living Room W/O To Large Balcony. Carpet Free Home. Good Size, Bright Rooms. Master Bedroom With 2Pc Ensuite Bathroom. (28153941)","2","3",,"Apartment","Storage - Locker, Sauna, Security/Concierge, Exercise Centre","#403 -31 FOUR WINDS DR|Toronto, Ontario M3J1K9","-79.4975998","43.7638263","M3J1K9","York University Heights","$499,000 ","Single Family","1","Condominium/Strata",,,,"Radiant heat (Natural gas)",,"Public Transit, Schools","$1,349.34",,
"W5168605","Gorgeous Renovated Condo - Just Like New - Many Custom Upgrades, All New Modern Laminate Prof. Painted. All New Luxuries Light Fixtures. Fully Renovated Open Concept Kitchen W/ High-End Cabinetry, Granite Countertops. Beautiful Modern Floor Tiling And High-End Stainless Steel Appliances. Lots Of Extras & Updates. Building Hallway Upgraded 2019. Excellent Demand Location. Walk To Finch Subway, Shopping (2 Costco Locations) & Schools. Close To York University**** EXTRAS **** Include: All S/S Kitchen Appliances, S/S Laundry Appliances, All Light Fixtures, Underground Parking Locker Indoor Pool, Exercise Room, Gym, Extra Balcony, Lots Of Visitor Parking. Exclude: White Fridge & White Freezer (28153919)","2","3",,"Apartment","Storage - Locker, Party Room, Sauna, Exercise Centre","#910 -19 FOUR WINDS DR|Toronto, Ontario M3J2S9","-79.4948627","43.7644301","M3J2S9","York University Heights","$599,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,"Public Transit, Schools","$1,400",,
"C5168306","Convenient Location At Sheppard And 404 -- Legacy Condo.  2 Bedroom With 2 Bath Big Corner Unit With 886 Sq Ft Living Space And A Massive Wrap Around Balcony Facing Both South & West. Amazing Layout For Practical Living And Brilliant Sunlight Exposure. Bedrooms Are On Separate Ends For The Ultimate In Privacy. Lots Of Amenities Including Pool, Gym, Billiard, Party And Movie Rooms.  Maintenance Fees Include Most Utilities For Easy Budgeting.**** EXTRAS **** Existing Fridge, Stove, B/I Dishwasher, B/I Microwave Hood Fan, Stack Washer & Dryer, All Existing Window Vertical Blinds & All Elf. 1 Parking & 1 Locker (28150947)","2","2",,"Apartment","Storage - Locker, Party Room, Exercise Centre","#1011 -30 HERON'S HILL WAY|Toronto, Ontario M2J0A7","-79.3354683406006","43.7749410389341","M2J0A7","Henry Farm","$579,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,,"$2,350",,"https://cdn.realtor.ca/listing/TS637523434043500000/reb82/highres/6/c5168306_1.jpg"
"C5167600","Prestigious Tridel-Skyview Condo Fully Renovated W/80K Spent! Huge 948 Sqft Unit Includes Parking & Ensuite Locker. Open Concept Kitchen W/Quartz Counters+Backsplash,Porcelain Tiles, Ss Appl,Eng Hardwd Flring Thruout,Den Can Be 2nd Bdrm.Huge Master Bdrm W/Custom Builtin Closet. Luxury Bath W/Marble Floor+Wall Tiles! 24 Hr Concierge, Lots Visitor Parking. 4Min Walk To Subway, Guest Suites, Gym, Indoor/Outdoor Pools, Tennis/Squash Crt, Bbq In Garden, Must See!**** EXTRAS **** All Window Coverings, All Elfs, Fridge, Stove, Dishwasher, Washer & Dryer. Pot Lights, Marble Floor And Marble Wall Bathroom! Custom Closets, Den Can Be Second Bedroom, Huge Ensuite Storage + 1 Parking. Maintenance Includes Water + Cable (28148667)","1","1 + 1",,"Apartment",,"#110 -5444 YONGE ST|Toronto, Ontario M2N6J4","-79.4156424","43.7764619","M2N6J4","Willowdale West","$595,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,"Park, Public Transit, Schools","$1,841.10",,"https://cdn.realtor.ca/listing/TS637522934857670000/reb82/highres/0/c5167600_1.jpg"
"W5167750","Welcome To This Gorgeous 1 + Den,1 Bath Condo! 9 Foot Ceilings With Dark Laminate Flooring Throughout, Overlooking The Courtyard On The """"Quiet Side"""" Of The Building. Upgraded Kitchen With Stainless Steel Appliances. Spacious Bedroom With Balcony And Walk-In Closet. Full Size Den Can Be Used As A 2nd Bedroom Or Home Office. Easy Access To Transit, Sheppard West Station, Highways, Yorkdale Mall, Downsview Park, Shops And Restaurants. 1 Parking Spot!**** EXTRAS **** Inclusions: Stainless Steel Fridge, Stainless Steel Microwave, Stainless Steel Stove, Stainless Steel Dishwasher, Stainless Steel Hood Cover. Washer & Dryer. All Window Coverings. All Electrical Fixtures. (28149154)","1","1 + 1",,"Apartment","Security/Concierge, Party Room, Exercise Centre","#302 -1070 SHEPPARD AVE W|Toronto, Ontario","-79.465027","43.7505992","","Downsview-Roding-CFB","$558,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,,"$2,015",,"https://cdn.realtor.ca/listing/TS637522934082600000/reb82/highres/0/w5167750_1.jpg"
"C5167386","Welcome To Empress Plaza By Menkes Development. Easy Underground Access To Subway, Grocery, Library, Theatre, Restaurants And More. Great Schools - Earl Haig S.S, Mckee P.S. Split 2 Br, 2 Full Bath Suite In The Heart Of North York. No Carpet.**** EXTRAS **** Stainless Steel [Fridge, Stove, Dishwasher], Range Hood, Washer, Dryer, Window Coverings, Electric Light Fixture. (28148412)","2","2",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre","#1408 -35 EMPRESS AVE|Toronto, Ontario M2N6T3","-79.4113306","43.7692453","M2N6T3","Willowdale East","$599,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,"Hospital, Park, Public Transit, Schools","$2,272.88",,"https://cdn.realtor.ca/listing/TS637522930843500000/reb82/highres/6/c5167386_1.jpg"
"W5167750","Welcome To This Gorgeous 1 + Den,1 Bath Condo! 9 Foot Ceilings With Dark Laminate Flooring Throughout, Overlooking The Courtyard On The """"Quiet Side"""" Of The Building. Upgraded Kitchen With Stainless Steel Appliances. Spacious Bedroom With Balcony And Walk-In Closet. Full Size Den Can Be Used As A 2nd Bedroom Or Home Office. Easy Access To Transit, Sheppard West Station, Highways, Yorkdale Mall, Downsview Park, Shops And Restaurants. 1 Parking Spot!**** EXTRAS **** Inclusions: Stainless Steel Fridge, Stainless Steel Microwave, Stainless Steel Stove, Stainless Steel Dishwasher, Stainless Steel Hood Cover. Washer & Dryer. All Window Coverings. All Electrical Fixtures. (28149154)","1","1 + 1",,"Apartment","Security/Concierge, Party Room, Exercise Centre","#302 -1070 SHEPPARD AVE W|Toronto, Ontario","-79.465027","43.7505992","","Downsview-Roding-CFB","$558,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,,"$2,015",,"https://cdn.realtor.ca/listing/TS637522934082600000/reb82/highres/0/w5167750_1.jpg"
